,NPD_WELL_BORE_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
65,7405.0,24.0,218.415,108.065,156.685,26.304599999999997,47.81521,61.73,54.295,33.314,746.0,108793.0,93.99999999999994,0.0,production,OP
66,7405.0,24.0,215.497,108.139,155.559,12.798600000000002,48.72777,59.938,61.56100000000001,31.528999999999996,805.0000000000001,116555.0,102.0,0.0,production,OP
67,7405.0,24.0,214.82299999999998,108.135,154.685,15.1264,48.26392,60.138000000000005,62.327,31.739000000000004,818.9999999999999,120308.0,57.00000000000001,0.0,production,OP
68,7405.0,24.0,215.83299999999997,108.105,155.59799999999998,18.3754,48.00591,60.235,59.58399999999999,31.836000000000002,781.0,115374.0,53.999999999999986,0.0,production,OP
69,7405.0,24.0,214.87699999999998,108.11399999999999,154.958,15.729199999999999,48.04032,59.919999999999995,60.773999999999994,31.544000000000004,786.0,116058.0,54.99999999999999,0.0,production,OP
70,7405.0,24.0,215.38099999999997,108.088,155.333,18.375400000000003,47.74037,60.048,59.445,31.670999999999996,757.0,111152.99999999999,51.99999999999998,0.0,production,OP
71,7405.0,24.0,216.11900000000003,108.06700000000001,155.97799999999998,21.1758,47.62397,60.14,58.607,31.763000000000005,727.0,107051.0,50.99999999999997,0.0,production,OP
72,7405.0,24.0,215.984,108.066,156.197,16.139,47.63986,59.787,58.662,31.4,724.0,106456.99999999999,50.99999999999997,0.0,production,OP
73,7405.0,24.0,215.818,108.066,156.378,13.819400000000002,47.60717,59.44,57.55,31.053,715.0,105828.0,52.99999999999998,0.0,production,OP
74,7405.0,24.0,215.579,108.073,156.488,13.447000000000001,47.58517,59.091,58.446000000000005,30.704,711.0,104861.0,50.99999999999997,0.0,production,OP
